Date,Company,Industry,Subvertical,City,Investors,Round,Amount,Year,Quarter
4/17/2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,021 Capita,Series A,25.8,2019,2
7/13/2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,100 Co-founders Lab,Seed/ Angel Funding,1.5,2018,3
5/30/2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,122 West Ventures,Private Equity,12.9,2017,2
3/19/2018,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,1Crowd,Seed / Angel Funding,4.3,2018,1
11/21/2017,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,3.44,2017,4
5/10/2017,Fourth Ambit,Consumer Internet,Community Building platform,Bengaluru,1Crowd,Seed Funding,5.16,2017,2
5/22/2017,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,1Crowd,Seed Funding,4.3,2017,2
10/27/2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bengaluru,1Crowd,Private Equity,6.02,2016,4
8/8/2016,ZipGrid,Consumer Internet,Community services platform,Mumbai,1Crowd,Seed Funding,1.72,2016,3
8/11/2016,GenNext Students,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd,Seed Funding,1.8,2016,3
4/13/2019,Tripoto,Social Media,Travel,New Delhi,3one4 Capital,Series B,30.89,2019,2
3/28/2017,Wigzo,Technology,Enterprise Automation suite,New Delhi,3one4 Capital,Private Equity,0,2017,1
3/29/2017,Licious,ECommerce,Online Meat Ordering platform,Bengaluru,3one4 Capital,Private Equity,86,2017,1
12/15/2016,Pocket Aces,Technology,Digital Entertainment Company,Mumbai,3one4 Capital,Private Equity,25.8,2016,4
11/3/2016,DoSelect,Consumer Internet,Skill Showcasing platform,Bengaluru,3one4 Capital,Seed Funding,0,2016,4
10/4/2016,Scandid,Consumer Internet,Product Shopping Comparison App,Pune,3one4 Capital,Private Equity,0,2016,4
7/1/2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,3one4 Capital,Seed Funding,0,2016,3
2/16/2017,YourStory,Consumer Internet,Online Media,Bengaluru,3one4 Capital,Private Equity,25.8,2017,1
6/19/2017,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,3one4 Capital,Private Equity,34.4,2017,2
10/25/2017,SpotDraft,Consumer Internet,Contract Automation,Gurugram,500 Startups,Seed Funding,4.73,2017,4
7/12/2017,Bottr.me,Technology,Chatbot creation tool,Bengaluru,500 Startups,Seed Funding,0,2017,3
6/6/2017,FTCash,Consumer Internet,Mobile Payments platform,Mumbai,500 Startups,Private Equity,0,2017,2
4/24/2017,Niramai,Healthcare,Breast Cancer Screening Solutions,Bengaluru,500 Startups,Seed Funding,0,2017,2
7/7/2016,Quickli,Logistics,On-Demand Delivery Startup,Gurugram,500 Startups,Private Equity,0,2016,3
7/14/2016,TransTutors / AskIITians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,0,2016,3
3/23/2016,Stalk Buy Love,eCommerce,Fashion eTailer,New Delhi,500 Startups,Seed Funding,0,2016,1
3/31/2016,SwitchMe,Consumer Internet,Home Loan Rate comparison platform,Mumbai,500 Startups,Seed Funding,0,2016,1
1/11/2016,Wishup,Consumer Internet,Mobile app based Concierge Service,New Delhi,500 Startups,Seed Funding,0,2016,1
1/18/2016,Kartrocket,Consumer Internet,SAAS DIY\\xc2\\xa0 ECommerce Platform,New Delhi,500 Startups,Private Equity,51.6,2016,1
1/20/2016,RedDoorz,Consumer Internet,Budget Accomodation Aggregator,New Delhi,500 Startups,Private Equity,0,2016,1
12/17/2015,Springboard,Data Science & UX design Learning platform,Not unknown,Bengaluru,500 Startups,Seed Funding,14.62,2015,4
11/6/2015,POPxo,Online content platform for women,Not unknown,New Delhi,500 Startups,Private Equity,17.2,2015,4
10/12/2015,Tripoto,global community for travellers,Not unknown,New Delhi,500 Startups,Private Equity,0,2015,4
9/10/2015,OnlineTyari,Multilingual Test Preparation Platform,Not unknown,Gurugram,500 Startups,Private Equity,6.62,2015,3
9/21/2015,LafaLafa,coupons and cashback aggregator app,Not unknown,Mumbai,500 Startups,Seed Funding,1.08,2015,3
9/24/2015,Capabiliti,Employee OnBoarding & Orientation platform,Not unknown,Noida,500 Startups,Seed Funding,3.44,2015,3
9/28/2015,Quickli,hyperlocal delivery platform,Not unknown,New Delhi,500 Startups,Seed Funding,0,2015,3
8/12/2015,Sheroes,Career Community for Women,Not unknown,Noida,500 Startups,Seed Funding,6.62,2015,3
6/23/2015,EduKart,Online education marketplace,Not unknown,New Delhi,500 Startups,Private Equity,8.6,2015,2
4/23/2015,HeadOut,Last Minute Travel Deals mobile marketplace,Not unknown,Bengaluru,500 Startups,Seed Funding,15.48,2015,2
3/8/2016,Kartrocket,ECommerce,ECommerce SAAS platform,New Delhi,500 Startups,Private Equity,68.8,2016,1
10/28/2015,ORIGA Leasing,Asset Financing platform,Not unknown,Mumbai,500 Startups,Seed Funding,9.46,2015,4
5/5/2017,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,0,2017,2
6/13/2016,KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Funding,0,2016,2
4/25/2016,Commut,Consumer Internet,Shuttle Service Provider,Hyderabad,50K Ventures,Seed Funding,1.72,2016,2
1/13/2016,Bucker,Consumer Internet,Food Ordering Mobile App,Hyderabad,50K Ventures,Seed Funding,0,2016,1
11/16/2015,Absentia VR,Virtual Reality Headset creator,Not unknown,Bengaluru,50K Ventures,Seed Funding,1.55,2015,4
6/20/2017,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bengaluru,91maker.com,Seed Funding,2.58,2017,2
2/13/2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,91SpringBoard,Series A,5.16,2019,1
4/12/2017,SquadRun,Technology,Software-As-a-Service Platform,Noida,91SpringBoard,Private Equity,18.06,2017,2
11/5/2016,Medzin,eCommerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed Funding,0.39,2016,4
9/4/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,86,2019,3
5/11/2017,ION Energy,Technology,Clean Tech Startup,Mumbai,Aakrit Vaish,Seed Funding,0,2017,2
12/11/2017,Furlenco,Technology,Furniture Rental Platform,Bengaluru,Aamir Khan,Debt Funding,10.32,2017,4
12/15/2016,Pocket Aces,Technology,Digital Entertainment Company,Mumbai,Aarin Capital,Private Equity,25.8,2016,4
11/3/2016,DoSelect,Consumer Internet,Skill Showcasing platform,Bengaluru,Aarin Capital,Seed Funding,0,2016,4
10/30/2016,Impact Analytics,Technology,Business intelligence and data science Startup,Bengaluru,Aarin Capital,Private Equity,6.45,2016,4
6/30/2016,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bengaluru,Aarin Capital,Seed Funding,1.89,2016,2
2/5/2016,Magic Crate,Education,Children Education Platform,Bengaluru,Aarin Capital,Seed Funding,0,2016,1
9/14/2015,UE Life Sciences,Early Cancer Detection Solutions,Not unknown,India,Aarin Capital,Private Equity,25.8,2015,3
2/9/2016,Inc42,Consumer Internet,Startup Focused Media News Portal,New Delhi,Aarin Capital,Seed Funding,0,2016,1
12/1/2015,Wigzo,Enterprise Marketing Automation platform,Not unknown,New Delhi,Aarin Capital,Seed Funding,4.3,2015,4
10/12/2015,Faircent,Online P2P lending marketplace,Not unknown,Gurugram,Aarin Capital,Private Equity,0,2015,4
7/31/2015,TripFactory,Online Curated Holiday package bookings,Not unknown,Bengaluru,Aarin Capital,Private Equity,0,2015,3
5/8/2015,KleverKid,Online Education Platform,Not unknown,New Delhi,Aarin Capital,Seed Funding,0,2015,2
10/19/2015,Holidify,Travel Destination Discovery platform,Not unknown,New Delhi,Aarti Group,Seed Funding,0.86,2015,4
7/1/2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,Aaruha Technology Fund,Seed Funding,0,2016,3
2/19/2016,Jaypore,ECommerce,Ethnic Products marketplace,New Delhi,Aavishkaar,Private Equity,43,2016,1
8/3/2015,Connect India,ECommerce Logistics provider,Not unknown,New Delhi,Aavishkaar,Private Equity,43,2015,3
11/4/2016,Connect India,Logistics,Last mile Delivery Network,Bengaluru,Aavishkaar,Private Equity,8.6,2016,4
1/10/2017,DriveSkool,Consumer Internet,online marketplace for driving schools,Bengaluru,Aavya Ventures,Seed Funding,0,2017,1
7/23/2015,Quikr,Online & Mobile classified listings,Not unknown,Mumbai,AB Kinnevik,Private Equity,516,2015,3
9/10/2016,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,New Delhi,Abaran Deep,Seed Funding,0,2016,3
5/30/2018,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,ABB Technology Ventures,Private Equity,120.4,2018,2
4/10/2019,Kabadiwala,E-commerce,Waste Management,Bhopal,ABCOM Investments,Private Equity,3.7,2019,2
6/9/2017,Guiddoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Abhai S. Rao,Seed Funding,2.58,2017,2
3/7/2016,Wooplr,ECommerce,Curated Fashion ECommerce portal,Bengaluru,Abhay Singhal,Seed Funding,0,2016,1
2/15/2016,RentSher,Consumer Internet,Online Household Product Rental platform,Bengaluru,Abhay Singhal,Seed Funding,2.58,2016,1
7/15/2016,SatvaCart,eCommerce,Online Grocers,New Delhi,Abhijit Avasthi,Seed Funding,0,2016,3
2/22/2016,NewsLaundry,Consumer Internet,Independent News Media Portal,New Delhi,Abhijit Bhandari,Private Equity,0,2016,1
6/29/2017,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,Abhinav Bindra,Private Equity,8.6,2017,2
8/20/2017,Rootefy,eCommerce,Building material online store,New Delhi,Abhinav Gupta,Seed Funding,1.61,2017,3
1/15/2016,Jobick,Consumer Internet,Mobile app based Job Search,Noida,Abhinav Mathur,Seed Funding,0,2016,1
10/1/2015,Muvizz,Movie-on-demand platform,Not unknown,India,Abhinav Patodia,Seed Funding,3.01,2015,4
8/25/2016,WitWorks,Technology,Consumer IoT Startup,Bengaluru,Abhinav Sinha,Seed Funding,0,2016,3
2/15/2016,RentSher,Consumer Internet,Online Household Product Rental platform,Bengaluru,Abhishek Acharya,Seed Funding,2.58,2016,1
7/20/2016,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,Abhishek Agarwal,Seed Funding,5.12,2016,3
10/25/2017,PropStory,Consumer Internet,Real Estate content portal,Gurugram,Abhishek Bhatewara,Seed Funding,0,2017,4
3/16/2016,Wealthy,Consumer Internet,Online Investment management portal,Bengaluru,Abhishek Goyal,Seed Funding,2.15,2016,1
10/1/2015,Indifi,Easy Business Loans platform,Not unknown,Gurugram,Abhishek Goyal,Seed Funding,0,2015,4
7/7/2015,Eatlo,Food Delivery platform,Not unknown,Bengaluru,Abhishek Goyal,Seed Funding,0,2015,3
7/12/2017,Bottr.me,Technology,Chatbot creation tool,Bengaluru,Abhishek Gupta,Seed Funding,0,2017,3
7/29/2015,Swajal,Innovative Water Solutions,Not unknown,Gurugram,Abhishek Gupta,Private Equity,10.32,2015,3
3/14/2016,PinkBlue,ECommerce,Medical Supplies eTailer,Bengaluru,Abhishek Jain,Seed Funding,1.92,2016,1
7/19/2017,Playablo,Technology,Gamified Learning App,Bengaluru,ABI-Showatech (India) Ltd,Seed Funding,5.16,2017,3
1/25/2017,InstaSafe,Technology,Security-as-a-Service solution provider,Bengaluru,ABM Knowledgeware,Private Equity,18.92,2017,1
3/22/2016,Big Basket,eCommerce,Online Grocery Shop,Bengaluru,Abraaj Group,Private Equity,1290,2016,1
4/12/2017,SquadRun,Technology,Software-As-a-Service Platform,Noida,Abstract Ventures,Private Equity,18.06,2017,2
5/18/2017,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,Abu Farhan Azmi,Seed Funding,8.6,2017,2
11/13/2019,Freshworks,Software,Business and customer engagement tools,India,Accel Partners,Series H,1290,2019,4
11/28/2017,Stanza Living,Technology,Student accommodation platform,New Delhi,Accel Partners,Private Equity,17.2,2017,4
11/19/2015,UrbanClap,Mobile Services Marketplace,Not unknown,Gurugram,Accel Partners,Private Equity,215,2015,4
8/28/2018,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel Partners,Private Equity,25.8,2018,3
5/30/2017,Swiggy,Consumer Internet,Online food delivery platform,Bengaluru,Accel Partners,Private Equity,688,2017,2
8/11/2016,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,Accel Partners,Private Equity,129,2016,3
4/24/2015,Coverfox,Online Insurance Aggregator,Not unknown,Mumbai,Accel Partners,Private Equity,103.2,2015,2
6/30/2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurugram,Accel Partners,Private Equity,180.6,2017,2
10/29/2015,Moglix,Industrial Toons Marketplace,Not unknown,Noida,Accel Partners,Private Equity,0,2015,4
4/11/2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Accel Partners,Series B,223.6,2019,2
7/30/2018,CureFit,Consumer Internet,Health and fitness Platform,Bengaluru,Accel Partners,Private Equity,1032,2018,3
6/20/2018,Drip capital,Finance,Trade Finance Firm,Mumbai,Accel Partners,Private Equity,129,2018,2
6/26/2018,SigTuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,Accel Partners,Private Equity,163.4,2018,2
4/5/2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bengaluru,Accel Partners,Private Equity,86,2018,2
2/9/2018,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,Accel Partners,Private Equity,58.74,2018,1
1/2/2018,CleverTap,Technology,Mobile App Analytics,Mumbai,Accel Partners,Angel / Seed Funding,0,2018,1
1/30/2018,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,430,2018,1
12/12/2017,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,150.5,2017,4
12/14/2017,HomeLane,E-Commerce,Online Furniture Marketplace,Bengaluru,Accel Partners,Private Equity,86,2017,4
11/13/2017,Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,129,2017,4
10/17/2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bengaluru,Accel Partners,Private Equity,60.2,2017,4
9/4/2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,Accel Partners,Private Equity,48.16,2017,3
9/6/2017,Power2SME,eCommerce,Buying Club for Small Businesses,Gurugram,Accel Partners,Private Equity,223.6,2017,3
9/13/2017,GlowRoad,Consumer Internet,women focussed customer-to-customer reseller network,Bengaluru,Accel Partners,Private Equity,17.2,2017,3
8/29/2017,CureFit,Consumer Internet,End to End health and wellness platform.,Bengaluru,Accel Partners,Private Equity,215,2017,3
7/5/2017,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,Accel Partners,Private Equity,103.2,2017,3
5/2/2017,4tigo,Logistics,Truck Network company,Bengaluru,Accel Partners,Private Equity,86,2017,2
5/5/2017,Good Methods Global,Technology,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,0,2017,2
4/6/2017,Mech Mocha,Consumer Internet,Mobile gaming startup,Bengaluru,Accel Partners,Private Equity,43,2017,2
4/11/2017,Ninjacart,eCommerce,B2B agri-marketing platform,Bengaluru,Accel Partners,Private Equity,47.3,2017,2
4/28/2017,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,6.45,2017,2
3/7/2017,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,Private Equity,86,2017,1
2/13/2017,SigTuple,Technology,Medical Automation platform,Bengaluru,Accel Partners,Private Equity,49.88,2017,1
2/28/2017,BlackBuck,Logistics,Online freight aggregator,Bengaluru,Accel Partners,Private Equity,602,2017,1
11/2/2016,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,Accel Partners,Private Equity,473,2016,4
11/5/2016,Bizongo,eCommerce,Packaging Material Marketplace,Mumbai,Accel Partners,Private Equity,25.8,2016,4
10/4/2016,Moglix,eCommerce,Industrial & Home products marketplace,Noida,Accel Partners,Private Equity,36.12,2016,4
9/1/2016,Mihup,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,57.62,2016,3
9/19/2016,Milofy,Consumer Internet,Couple Socialization App,Bengaluru,Accel Partners,Seed Funding,6.45,2016,3
9/22/2016,DailyRounds,Consumer Internet,Mobile App for Doctors,Bengaluru,Accel Partners,Private Equity,0,2016,3
7/4/2016,CureFit,Consumer Internet,Online Preventive Healthcare Platform,Bengaluru,Accel Partners,Private Equity,129,2016,3
7/5/2016,Book My Show,Consumer Internet,Event & Movie Ticketing platform,Mumbai,Accel Partners,Private Equity,705.2,2016,3
7/13/2016,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bengaluru,Accel Partners,Private Equity,43,2016,3
6/28/2016,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurugram,Accel Partners,Private Equity,68.8,2016,2
5/10/2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,Accel Partners,Private Equity,12.9,2016,2
5/10/2016,Swiggy,Consumer Internet,Food Delivery Platform,Bengaluru,Accel Partners,Private Equity,60.2,2016,2
5/17/2016,CrownIt,Consumer Internet,Mobile customer rewards management platform,Gurugram,Accel Partners,Private Equity,0,2016,2
5/26/2016,Consure Medical,Healthcare,Medical Devices Kit manufacturer,New Delhi,Accel Partners,Private Equity,0,2016,2
3/2/2016,Systemantics,Technology,Industrial robots maker,Bengaluru,Accel Partners,Private Equity,12.04,2016,1
3/7/2016,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,Bengaluru,Accel Partners,Private Equity,25.8,2016,1
2/25/2016,Juspay,Consumer Internet,Digital Payments solutions,Bengaluru,Accel Partners,Private Equity,49.88,2016,1
1/25/2016,Power2SME,Consumer Internet,SME Online Buying Hub,Gurugram,Accel Partners,Private Equity,180.6,2016,1
12/10/2015,BlackBuck,Online Freight Services Aggregator,Not unknown,Bengaluru,Accel Partners,Private Equity,215,2015,4
11/30/2015,QikPod,Ecommerce Delivery locker services,Not unknown,Bengaluru,Accel Partners,Private Equity,77.4,2015,4
10/1/2015,Indifi,Easy Business Loans platform,Not unknown,Gurugram,Accel Partners,Seed Funding,0,2015,4
10/12/2015,Bizongo,B2B marketplace for industrial goods,Not unknown,Mumbai,Accel Partners,Seed Funding,0,2015,4
10/12/2015,Mubble,Prepaid Bill manager App,Not unknown,Bengaluru,Accel Partners,Private Equity,0,2015,4
10/19/2015,LetsVenture,Startup Funding Marketplace,Not unknown,Bengaluru,Accel Partners,Private Equity,0,2015,4
9/18/2015,CureJoy,Online Health & Wellness platform,Not unknown,Bengaluru,Accel Partners,Private Equity,9.89,2015,3
9/21/2015,Portea Medical,Home Medical Care Services,Not unknown,Bengaluru,Accel Partners,Private Equity,322.5,2015,3
8/3/2015,Wizrocket,User Engagment & Analytics platform,Not unknown,Mumbai,Accel Partners,Private Equity,82.56,2015,3
8/12/2015,Scripbox,Mutual Fund Investing platform,Not unknown,Bengaluru,Accel Partners,Private Equity,21.5,2015,3
7/8/2015,Collectabillia,Celebrity Fashion Brand,Not unknown,Bengaluru,Accel Partners,Private Equity,64.5,2015,3
7/14/2015,MySmartPrice,Online comparison engine,Not unknown,Hyderabad,Accel Partners,Private Equity,86,2015,3
7/27/2015,ManageMySpa,Spa & Salon Management Software,Not unknown,Hyderabad,Accel Partners,Private Equity,51.6,2015,3
7/28/2015,Opinio,Hyperlocal food & grocery store,Not unknown,Bengaluru,Accel Partners,Seed Funding,11.18,2015,3
6/9/2015,Swiggy,Online Food Ordering,Not unknown,Bengaluru,Accel Partners,Private Equity,141.9,2015,2
6/25/2015,Zinka,Freight logistics platform,Not unknown,Bengaluru,Accel Partners,Private Equity,51.6,2015,2
5/7/2015,Vedantu,Online Education Platform,Not unknown,Bengaluru,Accel Partners,Private Equity,43,2015,2
5/19/2015,CrownIt,Hyperlocal Mobile Marketplace,Not unknown,Gurugram,Accel Partners,Private Equity,47.3,2015,2
5/27/2015,Casa2inns,Affordable Hotel Booking Online,Not unknown,New Delhi,Accel Partners,Private Equity,43,2015,2
4/3/2015,Swiggy,Online Food Delivery,Not unknown,Bengaluru,Accel Partners,Private Equity,17.2,2015,2
4/13/2015,ZopNow,Online Grocer,Not unknown,Bengaluru,Accel Partners,Private Equity,86,2015,2
4/16/2015,UrbanClap,Hyperlocal Mobile Services Marketplace,Not unknown,New Delhi,Accel Partners,Seed Funding,13.76,2015,2
6/30/2016,Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bengaluru,Accel Partners,Private Equity,0,2016,2
2/22/2016,SigTuple,Technology,Healthcare based Tech Solutions,Bengaluru,Accel Partners,Seed Funding,0,2016,1
4/8/2015,Ola,Cab Aggregator,Not unknown,Bengaluru,Accel Partners,Private Equity,3440,2015,2
6/22/2018,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,Accel Partners,Private Equity,78.26,2018,2
8/8/2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,Accel Partners,Private Equity,104.92,2018,3
5/2/2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,Accel Partners,Private Equity,189.2,2018,2
3/5/2018,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,Accel Partners,Private Equity,43,2018,1
3/22/2018,ChargeBee,Technology,Subscription Billing & Recurring Payments Software,Chennai,Accel Partners,Private Equity,154.8,2018,1
6/14/2016,CureJoy,Consumer Internet,Online Alternative health community platform,Bengaluru,Accel Partners,Private Equity,37.84,2016,2
12/14/2015,Capricoast,Modular Furnishings Marketplace,Not unknown,Bengaluru,Accel Partners,Private Equity,30.1,2015,4
4/13/2015,Capricoast,Online Kitchen Furniture,Not unknown,Bengaluru,Accel Partners,Seed Funding,10.75,2015,2
8/17/2016,Appknox,Technology,Mobile security solutions,Bengaluru,Accel Partners,Private Equity,5.8,2016,3
4/24/2015,Coverfox,Online Insurance Aggregator,Not unknown,Mumbai,Accel Partners,Private Equity,103.2,2015,2
12/9/2015,Aye Finance,Nonbanking finance company,Not unknown,New Delhi,Accion,Private Equity,25.8,2015,4
8/13/2015,IFMR Holdings,Financial Inclusion platform,Not unknown,Chennai,Accion,Private Equity,215,2015,3
5/31/2018,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,Accion Venture Lab,Seed/ Angel Funding,11.18,2018,2
3/28/2018,SmartCoin,Finance,Micro lending company,Bengaluru,Accion Venture Lab,Seed / Angel Funding,17.2,2018,1
6/26/2015,CreditMantri,Credit Management Services,Not unknown,Chennai,Accion Venture Lab,Private Equity,21.5,2015,2
11/18/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Ackermans & van Haaren,Series B,135.88,2019,4
3/13/2018,Pine Labs,Technology,Digital Payment Platform,Mumbai,Actis,Private Equity,705.2,2018,1
2/26/2016,EduBridge,Consumer Internet,Skill development and vocational training platform,Mumbai,Acumen Fund,Private Equity,21.5,2016,1
9/7/2015,Sahayog Dairy,Dairy Based Product Manufacturer,Not unknown,Bhopal,Acumen Fund,Private Equity,15.48,2015,3
5/5/2015,Seed Schools,Affordable Education,Not unknown,Hyderabad,Acumen Fund,Seed Funding,5.59,2015,2
5/5/2015,Ignis Careers,Career Development,Not unknown,Hyderabad,Acumen Fund,Seed Funding,2.15,2015,2
11/9/2016,Square Yards,Consumer Internet,Online Property Search Portal,Gurugram,ADAG Reliance Private Equity,Private Equity,103.2,2016,4
6/22/2016,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,Adi Saravanan,Seed Funding,1.29,2016,2
4/21/2016,m.paani,Consumer Internet,Loyalty rewards platform,Mumbai,Adil Allana,Seed Funding,0,2016,2
5/8/2017,CureFit,Technology,Health-Tech Platform,Bengaluru,Aditya Agarwal,Private Equity,27.52,2017,2
1/12/2016,Hike Messenger,Consumer Internet,P2P Messaging Service,New Delhi,Aditya Agarwal,Private Equity,0,2016,1
5/12/2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,Aditya Agarwal,Seed Funding,0,2016,2
11/18/2015,Truelancer,Curated Freelancer Marketplace,Not unknown,New Delhi,Aditya Dev Sood,Seed Funding,0,2015,4
7/10/2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,Aditya Malik & Others,Seed/ Angel Funding,3.76,2018,3
7/21/2017,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,Aditya Singh,Seed Funding,0,2017,3
8/4/2017,Box My Space,Logistics,Warehouse Aggregator,Mumbai,Aditya Vazirani,Seed Funding,0,2017,3
4/25/2017,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurugram,Aditya Verma,Seed Funding,2.11,2017,2
3/29/2016,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,New Delhi,Aditya Vij,Seed Funding,2.58,2016,1
9/21/2017,Gaming Monk,Consumer Internet,E-sports platform,New Delhi,AdvantEdge Partners,Private Equity,0,2017,3
12/1/2016,IndiaLends,Consumer Internet,Online Instant personal Loan provider,New Delhi,AdvantEdge Partners,Private Equity,34.4,2016,4
5/16/2016,Smartivity,eCommerce,Smart Learning products,New Delhi,AdvantEdge Partners,Private Equity,8.6,2016,2
4/18/2016,Rapido,Consumer Internet,Bike Aggregator App,Bengaluru,AdvantEdge Partners,Private Equity,0,2016,2
5/4/2016,LensKart,eCommerce,Eyewear & Accessories etailer,New Delhi,Adveq Management,Private Equity,516,2016,2
4/6/2015,InstaLively,Video Streaming,Not unknown,New Delhi,AECAL,Seed Funding,1.03,2015,2
3/6/2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,65.36,2018,1
10/9/2017,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bengaluru,Aequs Group,Private Equity,0,2017,4
12/6/2018,Shopkirana,B2B,eCommerce,Indore,AET Fund,Seed Funding,17.2,2018,4
10/28/2016,Pikkol,Logistics,Relocation Service provider,Bengaluru,Afsal Salu,Seed Funding,0,2016,4
9/19/2015,Daily Ninja,Hyperlocal Delivery Platform,Not unknown,Bengaluru,Afsal Salu,Seed Funding,0,2015,3
3/14/2016,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",New Delhi,Agarwal Movers Group,Private Equity,128.14,2016,1
4/27/2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,Agnus Capital,Private Equity,30.96,2017,2
12/7/2015,Customfurnish,Custom Made furniture e-tailer,Not unknown,Hyderabad,Agnus Capital,Private Equity,38.7,2015,4
4/20/2015,Pastiwala,Material Collection & Recycling,Not unknown,Vadodara,Agnus Capital,Private Equity,34.4,2015,2
9/29/2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bengaluru,ah! Ventures,Private Equity,12.9,2016,3
8/24/2016,ShaadiSaga,Consumer Internet,Wedding Website Creator,New Delhi,ah! Ventures,Seed Funding,0,2016,3
5/12/2016,ShabdaNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,0,2016,2
4/19/2016,DriversCart,Consumer Internet,on-demand chauffeur provider,Chennai,ah! Ventures,Seed Funding,3.87,2016,2
1/29/2016,Aisle,Consumer Internet,Indians focused Matchmaking App,Bengaluru,ah! Ventures,Seed Funding,1.59,2016,1
11/4/2015,Shirsa Labs,Digital Intelligent learning platform,Not unknown,Mumbai,ah! Ventures,Seed Funding,2.15,2015,4
